JourneyRef,Time,LineNumber,JourneyPointRef,StopPointId,ApcAlightingCount,AfcBoardingCount,AfcAlightingCount,UpstreamTimingPointAbbreviation,DownstreamTimingPointAbbreviation,LineDirectionCode,ApcBoardingCount
20200919L0326J0018,2020-09-19 19:46:06.0000000,326,20200919L0326J0018#041 ,8871,0,0,0,HHVD,AMGH,1,0
20200919L0326J0018,2020-09-19 19:49:02.0000000,326,20200919L0326J0018#043 ,8873,0,0,0,AMGH,AMGH,1,0
20200919L0326J0018,2020-09-19 19:49:36.0000000,326,20200919L0326J0018#044 ,8874,0,0,0,AMGH,LYNS,1,0
20200919L0326J0018,2020-09-19 19:50:56.0000000,326,20200919L0326J0018#045 ,8875,0,0,0,AMGH,LYNS,1,0
20200919L0326J0018,2020-09-19 19:51:52.0000000,326,20200919L0326J0018#046 ,8876,0,0,0,AMGH,LYNS,1,0
20200919L0326J0018,2020-09-19 19:52:20.0000000,326,20200919L0326J0018#047 ,8877,0,0,0,AMGH,LYNS,1,0
20200919L0326J0018,2020-09-19 19:52:46.0000000,326,20200919L0326J0018#048 ,8878,0,0,0,AMGH,LYNS,1,0
20200919L0326J0018,2020-09-19 19:53:03.0000000,326,20200919L0326J0018#049 ,9549,0,0,0,AMGH,LYNS,1,0
20200919L0326J0018,2020-09-19 19:53:29.0000000,326,20200919L0326J0018#050 ,8879,0,0,0,AMGH,LYNS,1,0
20200919L0326J0018,2020-09-19 19:54:07.0000000,326,20200919L0326J0018#051 ,8880,0,0,0,AMGH,LYNS,1,0
20200919L0326J0018,2020-09-19 19:54:33.0000000,326,20200919L0326J0018#052 ,8881,0,0,0,AMGH,LYNS,1,0
20200919L0326J0018,2020-09-19 19:54:58.0000000,326,20200919L0326J0018#053 ,8882,0,0,0,AMGH,LYNS,1,0
20200919L0326J0018,2020-09-19 19:55:51.0000000,326,20200919L0326J0018#054 ,8883,0,0,0,AMGH,LYNS,1,0
20200919L0326J0018,2020-09-19 19:56:31.0000000,326,20200919L0326J0018#055 ,8884,0,0,0,AMGH,LYNS,1,0
20200919L0326J0018,2020-09-19 19:57:12.0000000,326,20200919L0326J0018#056 ,8885,0,0,0,AMGH,LYNS,1,1
20200919L0326J0018,2020-09-19 19:57:50.0000000,326,20200919L0326J0018#057 ,8958,0,0,0,AMGH,LYNS,1,1
20200919L0326J0018,2020-09-19 19:58:19.0000000,326,20200919L0326J0018#058 ,8886,0,0,0,LYNS,LYNS,1,0
20200919L0326J0018,2020-09-19 19:58:59.0000000,326,20200919L0326J0018#059 ,8887,0,0,0,LYNS,HNST,1,0
20200919L0326J0018,2020-09-19 19:59:00.0000000,326,20200919L0326J0018#060 ,8888,0,0,0,LYNS,HNST,1,0
20200919L0326J0018,2020-09-19 20:00:57.0000000,326,20200919L0326J0018#061 ,25152,1,0,0,LYNS,HNST,1,0
20200919L0326J0018,2020-09-19 20:02:52.0000000,326,20200919L0326J0018#062 ,52490,2,0,1,HNST,HNST,1,0
20200919L0326J0018,2020-09-19 20:04:39.0000000,326,20200919L0326J0018#063 ,52491,0,0,0,HNST,HUHL,1,0
20200919L0326J0018,2020-09-19 20:04:59.0000000,326,20200919L0326J0018#064 ,52488,0,0,0,HNST,HUHL,1,0
20200919L0326J0018,2020-09-19 20:05:39.0000000,326,20200919L0326J0018#065 ,8894,0,0,0,HNST,HUHL,1,0
20200919L0326J0018,2020-09-19 20:08:00.0000000,326,20200919L0326J0018#066 ,53349,1,0,0,HUHL,HUHL,1,0
20200919L0326J0021,2020-09-19 21:47:22.0000000,326,20200919L0326J0021#001 ,4679,0,2,0,HIST,HIST,1,5
20200919L0326J0021,2020-09-19 21:49:40.0000000,326,20200919L0326J0021#002 ,8329,0,0,0,HIST,ÅHP,1,1
20200919L0326J0021,2020-09-19 21:51:02.0000000,326,20200919L0326J0021#003 ,8330,0,2,0,HIST,ÅHP,1,2
20200919L0326J0021,2020-09-19 21:51:54.0000000,326,20200919L0326J0021#004 ,8331,0,2,0,HIST,ÅHP,1,4
20200919L0326J0021,2020-09-19 21:53:15.0000000,326,20200919L0326J0021#005 ,8838,0,0,0,HIST,ÅHP,1,0
20200919L0326J0021,2020-09-19 21:53:54.0000000,326,20200919L0326J0021#006 ,8839,0,0,0,HIST,ÅHP,1,0
20200919L0326J0021,2020-09-19 21:54:49.0000000,326,20200919L0326J0021#007 ,8336,0,0,0,HIST,ÅHP,1,0
